/rn,a,b/nx0/ls1
/r,qa,qb
41 -2 2 0 OUTPUT_AMPLITUDE_3D
11 0 10
5.11516E-001 5.05733E-001 5.24376E-001 5.54780E-001 5.97414E-001 6.28271E-001 6.38503E-001 6.40081E-001 6.23837E-001 5.98017E-001 5.63286E-001 
6.28261E-001 6.29502E-001 6.50176E-001 6.95598E-001 7.47256E-001 7.87070E-001 7.99758E-001 8.04039E-001 7.83722E-001 7.52013E-001 7.06616E-001 
7.53006E-001 7.59070E-001 7.82785E-001 8.42318E-001 9.07138E-001 9.53978E-001 9.70882E-001 9.75346E-001 9.50544E-001 9.11789E-001 8.58091E-001 
8.56974E-001 8.55555E-001 8.92403E-001 9.60318E-001 1.03571E+000 1.08689E+000 1.11123E+000 1.11484E+000 1.08657E+000 1.04126E+000 9.80913E-001 
9.35104E-001 9.21154E-001 9.74744E-001 1.04981E+000 1.13026E+000 1.18065E+000 1.21560E+000 1.21818E+000 1.18793E+000 1.13730E+000 1.07393E+000 
9.83574E-001 9.62789E-001 1.02404E+000 1.10476E+000 1.18891E+000 1.23635E+000 1.27925E+000 1.28117E+000 1.24873E+000 1.19543E+000 1.13073E+000 
1.00000E+000 9.76523E-001 1.03957E+000 1.12126E+000 1.20748E+000 1.25479E+000 1.30101E+000 1.30296E+000 1.26990E+000 1.21529E+000 1.14847E+000 
9.83574E-001 9.62789E-001 1.02404E+000 1.10476E+000 1.18891E+000 1.23635E+000 1.27925E+000 1.28117E+000 1.24873E+000 1.19543E+000 1.13073E+000 
9.35104E-001 9.21154E-001 9.74744E-001 1.04981E+000 1.13026E+000 1.18065E+000 1.21560E+000 1.21818E+000 1.18793E+000 1.13730E+000 1.07393E+000 
8.56974E-001 8.55555E-001 8.92403E-001 9.60318E-001 1.03571E+000 1.08689E+000 1.11123E+000 1.11484E+000 1.08657E+000 1.04126E+000 9.80913E-001 
7.53006E-001 7.59070E-001 7.82785E-001 8.42318E-001 9.07138E-001 9.53978E-001 9.70882E-001 9.75346E-001 9.50544E-001 9.11789E-001 8.58091E-001 
6.28261E-001 6.29502E-001 6.50176E-001 6.95598E-001 7.47256E-001 7.87070E-001 7.99758E-001 8.04039E-001 7.83722E-001 7.52013E-001 7.06616E-001 
5.11516E-001 5.05733E-001 5.24376E-001 5.54780E-001 5.97414E-001 6.28271E-001 6.38503E-001 6.40081E-001 6.23837E-001 5.98017E-001 5.63286E-001 
4.20830E-001 4.07811E-001 4.21735E-001 4.43813E-001 4.79989E-001 4.99405E-001 5.11082E-001 5.09277E-001 4.94977E-001 4.74388E-001 4.46601E-001 
3.48943E-001 3.33226E-001 3.41183E-001 3.56358E-001 3.85652E-001 3.97459E-001 4.10557E-001 4.06382E-001 3.92824E-001 3.74966E-001 3.55112E-001 
2.91108E-001 2.74761E-001 2.78326E-001 2.83933E-001 3.11038E-001 3.17381E-001 3.29665E-001 3.23874E-001 3.10669E-001 2.94259E-001 2.79168E-001 
2.44052E-001 2.29871E-001 2.29490E-001 2.26468E-001 2.50198E-001 2.53483E-001 2.64850E-001 2.58670E-001 2.45642E-001 2.30461E-001 2.19685E-001 
2.05429E-001 1.96838E-001 1.88035E-001 1.82484E-001 1.99581E-001 2.01276E-001 2.11295E-001 2.08280E-001 1.94309E-001 1.78651E-001 1.70523E-001 
1.73501E-001 1.71003E-001 1.49033E-001 1.49127E-001 1.57783E-001 1.61036E-001 1.67780E-001 1.68807E-001 1.53052E-001 1.36981E-001 1.26994E-001 
1.46956E-001 1.48012E-001 1.16331E-001 1.23609E-001 1.24637E-001 1.30259E-001 1.34555E-001 1.38376E-001 1.22009E-001 1.04608E-001 9.26518E-002 
1.24780E-001 1.26439E-001 9.50886E-002 1.02391E-001 9.97677E-002 1.04845E-001 1.07530E-001 1.14141E-001 9.79652E-002 7.87651E-002 6.53950E-002 
1.06177E-001 1.06894E-001 8.37669E-002 8.56128E-002 8.04527E-002 8.58563E-002 8.75907E-002 9.47908E-002 8.04897E-002 5.90851E-002 4.34911E-002 
9.05175E-002 9.02062E-002 7.79365E-002 7.36090E-002 6.43600E-002 7.17163E-002 7.28874E-002 7.84188E-002 6.77550E-002 4.50146E-002 2.84223E-002 
7.72965E-002 7.64930E-002 7.47443E-002 6.13320E-002 5.16930E-002 5.98429E-002 5.90753E-002 6.39013E-002 5.81572E-002 3.53933E-002 1.82089E-002 
6.61046E-002 6.52403E-002 7.16099E-002 4.60455E-002 4.27676E-002 5.08248E-002 4.75632E-002 5.24232E-002 5.09717E-002 2.85893E-002 1.08734E-002 
5.66086E-002 5.58096E-002 6.64340E-002 3.18836E-002 3.55365E-002 4.29574E-002 3.86602E-002 4.26997E-002 4.50970E-002 2.48452E-002 6.33369E-003 
4.85351E-002 4.77055E-002 5.59606E-002 2.82273E-002 2.73906E-002 3.58908E-002 3.02383E-002 3.57148E-002 3.91674E-002 2.20927E-002 3.07456E-003 
